[[0.542, 0.8632], [0.8884, 0.0375], [0.2755, 0.6449], [0.212, 0.2087], [0.0425, 0.1797], [0.6036, 0.0067], [0.7834, 0.4936], [0.6592, 0.3061], [0.732, 0.8065], [0.6373, 0.6263]]
[[0.8101, 0.9725], [0.5556, 0.094], [0.4626, 0.2181], [0.8236, 0.1945], [0.2524, 0.1438], [0.6182, 0.0658], [0.802, 0.6678], [0.4687, 0.6646], [0.9319, 0.4691], [0.2389, 0.7572]]
[[0.4458, 0.8724], [0.2128, 0.0407], [0.2406, 0.659], [0.656, 0.1776], [0.1124, 0.7382], [0.848, 0.4709], [0.1782, 0.9071], [0.815, 0.1335], [0.8198, 0.2362], [0.0319, 0.7746]]
[[0.7166, 0.3231], [0.9048, 0.0743], [0.7788, 0.2244], [0.8891, 0.0565], [0.3111, 0.2803], [0.1277, 0.2094], [0.3228, 0.8734], [0.5786, 0.5077], [0.4955, 0.5345], [0.801, 0.6317]]
[[0.6013, 0.5542], [0.6475, 0.5912], [0.0877, 0.1483], [0.1447, 0.4804], [0.5725, 0.0812], [0.92, 0.3087], [0.9683, 0.0274], [0.1259, 0.4366], [0.5762, 0.738], [0.5254, 0.5412]]
[[0.5901, 0.1741], [0.4072, 0.6991], [0.0331, 0.0848], [0.1246, 0.685], [0.1901, 0.0063], [0.9707, 0.8052], [0.8116, 0.3951], [0.8837, 0.1748], [0.9044, 0.8636], [0.1369, 0.1684]]
[[0.2324, 0.1716], [0.0622, 0.9096], [0.6468, 0.2899], [0.4341, 0.5461], [0.4374, 0.8423], [0.9041, 0.3403], [0.0016, 0.9977], [0.5276, 0.5929], [0.6878, 0.2501], [0.2554, 0.647]]
[[0.2403, 0.3442], [0.5038, 0.3215], [0.2601, 0.4137], [0.7302, 0.2244], [0.2497, 0.2822], [0.7704, 0.1134], [0.2429, 0.8479], [0.677, 0.2447], [0.955, 0.6169], [0.0208, 0.3748]]
[[0.9911, 0.1647], [0.6481, 0.8302], [0.9849, 0.8703], [0.3, 0.2869], [0.6691, 0.2893], [0.5876, 0.3949], [0.7073, 0.2189], [0.6912, 0.6515], [0.6741, 0.7944], [0.2927, 0.3128]]
[[0.5407, 0.77], [0.36, 0.0016], [0.1141, 0.1851], [0.7017, 0.3008], [0.9235, 0.1343], [0.6513, 0.4739], [0.4351, 0.6064], [0.9283, 0.6708], [0.5999, 0.5621], [0.7837, 0.1614]]
[[0.3587, 0.7299], [0.8753, 0.0269], [0.7655, 0.6439], [0.209, 0.7077], [0.3522, 0.7134], [0.0238, 0.9305], [0.6844, 0.9573], [0.3263, 0.154], [0.0498, 0.5322], [0.203, 0.7955]]
[[0.6595, 0.6462], [0.247, 0.991], [0.8454, 0.2588], [0.5601, 0.0331], [0.9628, 0.0963], [0.1686, 0.5407], [0.5513, 0.8956], [0.9397, 0.7092], [0.0638, 0.8095], [0.9232, 0.8584]]
[[0.8948, 0.7642], [0.8694, 0.3942], [0.4266, 0.6901], [0.1574, 0.2175], [0.3602, 0.3687], [0.9698, 0.999], [0.9522, 0.6631], [0.29, 0.6708], [0.4786, 0.0245], [0.0505, 0.5642]]
[[0.2999, 0.4095], [0.2728, 0.7412], [0.884, 0.573], [0.3619, 0.2278], [0.4246, 0.0947], [0.1939, 0.5015], [0.0621, 0.2695], [0.2416, 0.4114], [0.7616, 0.894], [0.242, 0.6361]]
[[0.2482, 0.4519], [0.8394, 0.7812], [0.7504, 0.9241], [0.3831, 0.9394], [0.6235, 0.0432], [0.0972, 0.5347], [0.1866, 0.1709], [0.244, 0.4092], [0.8752, 0.1892], [0.3514, 0.5516]]
[[0.9482, 0.6031], [0.9451, 0.3634], [0.201, 0.4321], [0.8184, 0.9701], [0.1472, 0.1268], [0.1796, 0.035], [0.6623, 0.3985], [0.3344, 0.3638], [0.5857, 0.0333], [0.6154, 0.2298]]
[[0.2592, 0.2573], [0.3534, 0.7736], [0.0069, 0.8859], [0.067, 0.758], [0.6878, 0.0173], [0.1991, 0.4488], [0.7537, 0.7754], [0.4794, 0.4015], [0.4225, 0.0183], [0.0514, 0.6655]]
[[0.9441, 0.5695], [0.4507, 0.5722], [0.2949, 0.098], [0.2484, 0.4851], [0.7822, 0.2132], [0.7695, 0.8103], [0.1421, 0.8451], [0.8823, 0.3901], [0.2872, 0.2945], [0.8436, 0.5614]]
[[0.5887, 0.6044], [0.5613, 0.4535], [0.1984, 0.8695], [0.743, 0.013], [0.991, 0.8123], [0.6856, 0.3511], [0.7386, 0.2252], [0.6889, 0.9553], [0.5273, 0.4281], [0.4917, 0.6042]]
[[0.1535, 0.9008], [0.4416, 0.4342], [0.6082, 0.3642], [0.4301, 0.6225], [0.2944, 0.7084], [0.6653, 0.0328], [0.2799, 0.1437], [0.6548, 0.7587], [0.5348, 0.2724], [0.8236, 0.0601]]
[[0.759, 0.6248], [0.0487, 0.991], [0.7342, 0.2033], [0.0166, 0.7413], [0.8603, 0.2875], [0.8711, 0.5127], [0.309, 0.5591], [0.0985, 0.8709], [0.7005, 0.2031], [0.4035, 0.8037]]
[[0.8146, 0.9851], [0.342, 0.0759], [0.0078, 0.6952], [0.5535, 0.0631], [0.1693, 0.7963], [0.6771, 0.7862], [0.8432, 0.715], [0.8157, 0.3394], [0.4123, 0.8825], [0.7703, 0.1108]]
[[0.5761, 0.5537], [0.2248, 0.7223], [0.082, 0.1823], [0.0109, 0.6195], [0.5753, 0.7024], [0.937, 0.9802], [0.1341, 0.2529], [0.5165, 0.0025], [0.9315, 0.6918], [0.3329, 0.2919]]
[[0.8898, 0.9092], [0.0678, 0.4872], [0.2516, 0.5856], [0.5331, 0.0175], [0.586, 0.3893], [0.6302, 0.9512], [0.9696, 0.5789], [0.4584, 0.7666], [0.6046, 0.3707], [0.9722, 0.7413]]
[[0.5057, 0.6068], [0.1922, 0.9219], [0.2144, 0.7356], [0.3069, 0.5955], [0.2106, 0.5914], [0.42, 0.1117], [0.1282, 0.1844], [0.6374, 0.1884], [0.8307, 0.0311], [0.8424, 0.3526]]
[[0.83112, 0.50697], [0.99697, 0.79336], [0.41601, 0.58019], [0.94946, 0.30419], [0.64349, 0.43357], [0.037349, 0.14996], [0.31188, 0.95615], [0.70906, 0.00041091], [0.67404, 0.12589], [0.45178, 0.28005]]
[[0.8895, 0.3924], [0.6008, 0.5304], [0.179, 0.5304], [0.2797, 0.5975], [0.6498, 0.8267], [0.7749, 0.3602], [0.2198, 0.874], [0.8416, 0.6554], [0.1657, 0.9445], [0.5662, 0.4178]]
[[0.8217, 0.8121], [0.3475, 0.5789], [0.5383, 0.02], [0.0889, 0.9076], [0.5584, 0.5739], [0.6612, 0.2768], [0.4435, 0.5213], [0.6126, 0.3326], [0.6523, 0.8983], [0.6609, 0.3421]]
[[0.4348, 0.8748], [0.231, 0.2354], [0.9435, 0.5793], [0.4909, 0.8852], [0.0351, 0.867], [0.1417, 0.5198], [0.5562, 0.6239], [0.4258, 0.6483], [0.5128, 0.9529], [0.5046, 0.6692]]
[[0.2659, 0.9338], [0.6863, 0.5991], [0.5518, 0.218], [0.5659, 0.532], [0.3866, 0.2377], [0.4735, 0.674], [0.6444, 0.8349], [0.0685, 0.7837], [0.7436, 0.3812], [0.0972, 0.2882]]
[[0.7855, 0.6778], [0.5407, 0.5165], [0.9026, 0.1106], [0.312, 0.9884], [0.1266, 0.5578], [0.7005, 0.9178], [0.8549, 0.4346], [0.3477, 0.6844], [0.369, 0.9839], [0.2373, 0.8293]]
[[0.5302, 0.7935], [0.3957, 0.941], [0.8907, 0.3659], [0.2182, 0.954], [0.5162, 0.8639], [0.3406, 0.2493], [0.7992, 0.3706], [0.7961, 0.1089], [0.168, 0.8485], [0.0262, 0.9722]]
[[0.07, 0.3963], [0.3067, 0.0809], [0.7005, 0.738], [0.9585, 0.1677], [0.4092, 0.6077], [0.0096, 0.6453], [0.1316, 0.4432], [0.0159, 0.5223], [0.2549, 0.525], [0.6341, 0.5722]]
[[0.901, 0.9706], [0.2155, 0.2879], [0.7174, 0.4389], [0.065, 0.2132], [0.7462, 0.6548], [0.5818, 0.6505], [0.0787, 0.9819], [0.9146, 0.6207], [0.9122, 0.4735], [0.0466, 0.7642]]
[[0.0463, 0.9461], [0.9761, 0.147], [0.6602, 0.5439], [0.91, 0.2615], [0.3807, 0.4052], [0.7108, 0.0122], [0.5109, 0.6148], [0.1647, 0.8734], [0.9191, 0.519], [0.3956, 0.3608]]
[[0.9374, 0.8309], [0.902, 0.0671], [0.5105, 0.1545], [0.8264, 0.9361], [0.792, 0.6366], [0.9894, 0.9432], [0.473, 0.7891], [0.8557, 0.9733], [0.1875, 0.6204], [0.3496, 0.1547]]
[[0.5148, 0.8395], [0.2299, 0.3497], [0.4624, 0.2174], [0.6826, 0.5991], [0.5491, 0.0384], [0.9832, 0.4652], [0.2883, 0.1373], [0.9257, 0.7387], [0.9063, 0.7681], [0.5898, 0.8671]]
[[0.8987, 0.4058], [0.5419, 0.7825], [0.2572, 0.8157], [0.974, 0.5025], [0.1488, 0.2404], [0.3151, 0.5903], [0.6317, 0.8225], [0.4137, 0.7553], [0.4457, 0.3094], [0.5273, 0.2314]]
[[0.7928, 0.6467], [0.9794, 0.6823], [0.8945, 0.4579], [0.3156, 0.3972], [0.1736, 0.4116], [0.6161, 0.5091], [0.9789, 0.5568], [0.8242, 0.6603], [0.3046, 0.6958], [0.4068, 0.4612]]
[[0.7172, 0.5507], [0.1693, 0.9906], [0.6, 0.1122], [0.7636, 0.9749], [0.63, 0.824], [0.0583, 0.7746], [0.9971, 0.6944], [0.4234, 0.7987], [0.9308, 0.1448], [0.3578, 0.1536]]
[[0.5297, 0.0165], [0.0964, 0.9552], [0.8347, 0.1905], [0.0362, 0.8107], [0.4702, 0.807], [0.5915, 0.6183], [0.6888, 0.8497], [0.4816, 0.1989], [0.7904, 0.9083], [0.2836, 0.8959]]
[[0.7566, 0.5939], [0.3961, 0.874], [0.6796, 0.3761], [0.654, 0.5064], [0.6834, 0.1665], [0.4418, 0.8626], [0.3174, 0.4744], [0.5869, 0.1151], [0.1068, 0.7801], [0.7555, 0.9342]]
[[0.5549, 0.1415], [0.6477, 0.0844], [0.1245, 0.2523], [0.8749, 0.6173], [0.941, 0.4849], [0.2044, 0.3726], [0.0905, 0.9581], [0.7308, 0.5429], [0.9107, 0.6702], [0.0818, 0.694]]
[[0.3107, 0.4119], [0.7718, 0.3047], [0.0762, 0.7979], [0.8923, 0.8313], [0.5951, 0.0421], [0.9377, 0.2598], [0.3582, 0.7515], [0.4835, 0.9349], [0.47, 0.3926], [0.52, 0.8059]]
[[0.2786, 0.2796], [0.4456, 0.8885], [0.4457, 0.5397], [0.7528, 0.199], [0.7049, 0.5255], [0.3742, 0.4711], [0.8526, 0.6616], [0.2761, 0.8088], [0.6237, 0.1775], [0.627, 0.2562]]
[[0.4054, 0.7143], [0.3645, 0.4261], [0.9772, 0.967], [0.2649, 0.7179], [0.5557, 0.6124], [0.89, 0.1898], [0.4048, 0.1266], [0.9897, 0.6608], [0.6331, 0.5078], [0.6994, 0.1552]]
[[0.8695, 0.7368], [0.6798, 0.7679], [0.8112, 0.7804], [0.2674, 0.1599], [0.3935, 0.5314], [0.4877, 0.1109], [0.7673, 0.0892], [0.4141, 0.0165], [0.9705, 0.85], [0.6, 0.7409]]
[[0.6649, 0.9454], [0.8642, 0.2816], [0.8164, 0.1637], [0.9913, 0.645], [0.5106, 0.8965], [0.9132, 0.3875], [0.2585, 0.0578], [0.569, 0.9195], [0.3527, 0.8044], [0.8106, 0.0141]]
[[0.7797, 0.6811], [0.9345, 0.7945], [0.6107, 0.2296], [0.1846, 0.764], [0.6093, 0.1746], [0.6272, 0.8258], [0.0101, 0.6062], [0.5549, 0.3684], [0.5652, 0.3109], [0.2769, 0.4097]]
[[0.5617, 0.681], [0.041, 0.6589], [0.3294, 0.9725], [0.5641, 0.1553], [0.0131, 0.7188], [0.6212, 0.7392], [0.6271, 0.2036], [0.3532, 0.1379], [0.751, 0.8473], [0.0167, 0.556]]
[[0.1677, 0.0334], [0.7773, 0.0944], [0.5446, 0.3544], [0.59, 0.0877], [0.0157, 0.7545], [0.2077, 0.9895], [0.0856, 0.3443], [0.3291, 0.5195], [0.2323, 0.2778], [0.0721, 0.8096]]
[[0.3275, 0.5912], [0.928, 0.4139], [0.7084, 0.239], [0.0345, 0.9846], [0.9493, 0.8728], [0.09, 0.0144], [0.82, 0.6107], [0.639, 0.5108], [0.9561, 0.6625], [0.3095, 0.8123]]
[[0.268, 0.8443], [0.1626, 0.7763], [0.862, 0.3021], [0.0743, 0.7042], [0.6064, 0.9369], [0.9673, 0.6956], [0.6319, 0.3385], [0.9659, 0.7102], [0.0794, 0.1044], [0.2845, 0.57]]
[[0.5925, 0.3487], [0.7231, 0.1258], [0.6125, 0.3949], [0.2203, 0.1855], [0.6184, 0.2508], [0.8777, 0.3543], [0.2961, 0.5159], [0.0597, 0.3675], [0.4439, 0.7281], [0.3562, 0.5308]]
[[0.1981, 0.4992], [0.8932, 0.5899], [0.2166, 0.8369], [0.2845, 0.346], [0.9381, 0.9809], [0.08, 0.4374], [0.9532, 0.757], [0.1425, 0.2026], [0.2232, 0.9264], [0.5933, 0.1226]]
[[0.0765, 0.7405], [0.0134, 0.8541], [0.4932, 0.3964], [0.3795, 0.8356], [0.4254, 0.2986], [0.9912, 0.6019], [0.2127, 0.1299], [0.8682, 0.7678], [0.675, 0.7578], [0.2792, 0.4864]]
[[0.1745, 0.7746], [0.2695, 0.3627], [0.5815, 0.8888], [0.3636, 0.9989], [0.0612, 0.9558], [0.2709, 0.9931], [0.6493, 0.3938], [0.6023, 0.0498], [0.807, 0.2786], [0.9228, 0.5813]]
[[0.2169, 0.9627], [0.6098, 0.2965], [0.4797, 0.372], [0.757, 0.9804], [0.5551, 0.9721], [0.2322, 0.4997], [0.8948, 0.404], [0.6807, 0.6313], [0.7902, 0.4318], [0.949, 0.2986]]
[[0.5837, 0.4911], [0.1651, 0.595], [0.852, 0.7117], [0.3826, 0.631], [0.6352, 0.98], [0.7037, 0.6613], [0.5697, 0.4575], [0.1627, 0.0274], [0.6093, 0.1878], [0.1032, 0.4718]]
[[0.1894, 0.5486], [0.2108, 0.7586], [0.544, 0.488], [0.3599, 0.6626], [0.9851, 0.0495], [0.1497, 0.5166], [0.5673, 0.1217], [0.2424, 0.2589], [0.3265, 0.1373], [0.8219, 0.3864]]
[[0.2091, 0.4974], [0.4642, 0.2439], [0.3658, 0.092], [0.6745, 0.854], [0.4351, 0.4315], [0.7584, 0.9019], [0.3274, 0.4764], [0.651, 0.0747], [0.4117, 0.8975], [0.4754, 0.307]]
[[0.5841, 0.5682], [0.2322, 0.2927], [0.3104, 0.8734], [0.6613, 0.6066], [0.9283, 0.0045], [0.5244, 0.5541], [0.3485, 0.2081], [0.9862, 0.6404], [0.1573, 0.4037], [0.1673, 0.6322]]
[[0.4257, 0.0125], [0.3202, 0.0873], [0.9422, 0.7789], [0.8311, 0.847], [0.7997, 0.3443], [0.5487, 0.5264], [0.4208, 0.6909], [0.848, 0.5707], [0.7142, 0.7938], [0.683, 0.0961]]
[[0.6344, 0.5736], [0.7522, 0.1777], [0.4453, 0.7329], [0.7989, 0.7769], [0.8191, 0.4332], [0.4363, 0.7754], [0.8102, 0.9191], [0.8572, 0.3659], [0.1393, 0.3894], [0.3463, 0.0939]]
[[0.9425, 0.1353], [0.4585, 0.1608], [0.3346, 0.1186], [0.533, 0.8108], [0.4653, 0.224], [0.7258, 0.1144], [0.643, 0.5546], [0.7582, 0.4355], [0.7423, 0.983], [0.8749, 0.7993]]
[[0.9705, 0.3029], [0.4053, 0.5011], [0.1293, 0.1212], [0.9834, 0.089], [0.335, 0.3187], [0.9395, 0.2368], [0.2978, 0.8292], [0.2384, 0.6951], [0.6445, 0.7008], [0.9945, 0.2528]]
[[0.8389, 0.4133], [0.1074, 0.2249], [0.356, 0.9703], [0.3099, 0.3326], [0.169, 0.8288], [0.7781, 0.1447], [0.6074, 0.2581], [0.8153, 0.3566], [0.855, 0.1967], [0.9033, 0.7463]]
[[0.4815, 0.0551], [0.4617, 0.6888], [0.5201, 0.8167], [0.2714, 0.5493], [0.5043, 0.7025], [0.0255, 0.5774], [0.1009, 0.0998], [0.7363, 0.8397], [0.2477, 0.0484], [0.3644, 0.6655]]
[[0.1839, 0.6015], [0.9889, 0.1336], [0.1711, 0.0684], [0.6777, 0.5577], [0.3024, 0.5395], [0.5153, 0.9851], [0.4149, 0.6673], [0.935, 0.2452], [0.7384, 0.921], [0.5263, 0.6022]]
[[0.3862, 0.7022], [0.6642, 0.91], [0.4741, 0.5178], [0.6396, 0.773], [0.0457, 0.7875], [0.4186, 0.2881], [0.2642, 0.8441], [0.6414, 0.2125], [0.8852, 0.8395], [0.1446, 0.8767]]
[[0.8561, 0.7014], [0.206, 0.4082], [0.0938, 0.7891], [0.8315, 0.4223], [0.7194, 0.3598], [0.3717, 0.3212], [0.0011, 0.6849], [0.4334, 0.6036], [0.4074, 0.0933], [0.7695, 0.6344]]
[[0.8734, 0.0478], [0.114, 0.1795], [0.0362, 0.3894], [0.253, 0.3844], [0.8798, 0.5773], [0.7086, 0.7624], [0.7185, 0.0109], [0.9989, 0.6428], [0.7395, 0.3779], [0.902, 0.4375]]
[[0.6835, 0.3042], [0.931, 0.1129], [0.7538, 0.7359], [0.6413, 0.6169], [0.641, 0.3027], [0.236, 0.6462], [0.4221, 0.7588], [0.268, 0.5568], [0.2711, 0.1144], [0.8189, 0.3652]]
[[0.3888, 0.6829], [0.0107, 0.4786], [0.9198, 0.6459], [0.2294, 0.8022], [0.4449, 0.4512], [0.1052, 0.7223], [0.9877, 0.7736], [0.0167, 0.9517], [0.2958, 0.8474], [0.0024, 0.9001]]
[[0.1057, 0.8706], [0.2318, 0.6565], [0.6986, 0.8592], [0.4502, 0.221], [0.8301, 0.3838], [0.5667, 0.1644], [0.3945, 0.3167], [0.1323, 0.2167], [0.2766, 0.1704], [0.6576, 0.7804]]
[[0.7624, 0.5468], [0.1041, 0.1297], [0.2581, 0.7963], [0.9283, 0.0403], [0.526, 0.1994], [0.0606, 0.3031], [0.165, 0.3806], [0.226, 0.1165], [0.0168, 0.586], [0.0973, 0.8094]]
[[0.717, 0.7013], [0.8044, 0.252], [0.2509, 0.259], [0.8696, 0.0605], [0.1379, 0.0449], [0.5619, 0.0754], [0.3414, 0.3485], [0.3301, 0.7954], [0.2511, 0.8545], [0.3145, 0.5672]]
[[0.029, 0.6335], [0.4248, 0.2632], [0.3017, 0.2189], [0.1203, 0.7864], [0.8535, 0.3273], [0.6118, 0.2909], [0.5894, 0.0023], [0.8938, 0.3198], [0.4039, 0.6369], [0.7294, 0.4192]]
[[0.8099, 0.3292], [0.5399, 0.9063], [0.812, 0.4334], [0.7717, 0.4368], [0.7668, 0.8603], [0.5571, 0.2213], [0.965, 0.9933], [0.9563, 0.7748], [0.2577, 0.2538], [0.1757, 0.5322]]
[[0.0466, 0.5014], [0.1819, 0.8281], [0.9957, 0.5671], [0.1868, 0.9792], [0.376, 0.9635], [0.3931, 0.462], [0.6605, 0.9427], [0.0403, 0.4557], [0.166, 0.0995], [0.3222, 0.4242]]
[[0.9702, 0.1162], [0.9715, 0.1545], [0.8291, 0.662], [0.6272, 0.2946], [0.0478, 0.0263], [0.7047, 0.5381], [0.2666, 0.8791], [0.8572, 0.1043], [0.8884, 0.4955], [0.3357, 0.4397]]
[[0.6989, 0.487], [0.0273, 0.7859], [0.6283, 0.3604], [0.591, 0.3618], [0.0811, 0.7222], [0.7811, 0.9613], [0.2135, 0.4945], [0.8999, 0.1554], [0.3854, 0.6535], [0.0098, 0.08]]
[[0.3521, 0.5346], [0.9768, 0.5491], [0.9933, 0.0287], [0.1492, 0.2754], [0.3837, 0.6998], [0.4774, 0.1693], [0.6907, 0.7587], [0.7506, 0.7289], [0.4894, 0.1328], [0.9614, 0.6469]]
[[0.1952, 0.1721], [0.3833, 0.9684], [0.7546, 0.4973], [0.6789, 0.8571], [0.5677, 0.7658], [0.519, 0.8729], [0.0153, 0.491], [0.5377, 0.8978], [0.5145, 0.408], [0.2223, 0.1709]]
[[0.6741, 0.1496], [0.63, 0.7816], [0.2807, 0.4398], [0.2428, 0.1673], [0.7963, 0.5265], [0.2354, 0.4311], [0.7336, 0.4793], [0.5591, 0.3235], [0.3272, 0.4364], [0.1015, 0.479]]
[[0.666, 0.3686], [0.0872, 0.4143], [0.8592, 0.8253], [0.3333, 0.0872], [0.7127, 0.0524], [0.9389, 0.5401], [0.2712, 0.0263], [0.9092, 0.7481], [0.0106, 0.6511], [0.0476, 0.1952]]
[[0.9156, 0.867], [0.3812, 0.3776], [0.6043, 0.9917], [0.6438, 0.4796], [0.3066, 0.2986], [0.2985, 0.1479], [0.0603, 0.4937], [0.3812, 0.8695], [0.5086, 0.2259], [0.5096, 0.0965]]
[[0.3103, 0.9371], [0.2884, 0.8249], [0.24, 0.6816], [0.6218, 0.6845], [0.9357, 0.1767], [0.084, 0.3681], [0.6423, 0.223], [0.9883, 0.7075], [0.4945, 0.3766], [0.5995, 0.641]]
[[0.0919, 0.5921], [0.465, 0.989], [0.2014, 0.4544], [0.1059, 0.3516], [0.5421, 0.426], [0.3404, 0.364], [0.0586, 0.6896], [0.2693, 0.7206], [0.6864, 0.1836], [0.3577, 0.9944]]
[[0.88059, 0.46196], [0.21807, 0.4767], [0.25948, 0.38336], [0.90693, 0.96013], [0.89313, 0.5233], [0.73682, 0.078433], [0.20414, 0.37472], [0.74833, 0.56922], [0.55371, 0.25043], [0.00015295, 0.83116]]
[[0.6374, 0.0233], [0.1447, 0.0891], [0.9838, 0.5072], [0.7597, 0.9498], [0.6996, 0.8408], [0.2877, 0.0695], [0.8152, 0.3928], [0.6832, 0.0342], [0.8383, 0.1975], [0.5327, 0.4178]]
[[0.5956, 0.6436], [0.8774, 0.2459], [0.4455, 0.237], [0.3116, 0.6836], [0.7373, 0.0047], [0.5729, 0.9204], [0.4811, 0.8801], [0.003, 0.0234], [0.0205, 0.8166], [0.8304, 0.7794]]
[[0.5943, 0.8437], [0.7461, 0.7784], [0.794, 0.0437], [0.057, 0.939], [0.1432, 0.8483], [0.1661, 0.8273], [0.7711, 0.9351], [0.5341, 0.4866], [0.7642, 0.908], [0.6644, 0.7944]]
[[0.10086, 0.17509], [0.74443, 0.074919], [0.09021, 0.45262], [0.45802, 0.39786], [0.55989, 0.16966], [0.30285, 0.89635], [0.53689, 0.78914], [0.8874, 0.0001412], [0.9917, 0.41157], [0.76769, 0.077673]]
[[0.6698, 0.8601], [0.9547, 0.2837], [0.7214, 0.9847], [0.1386, 0.0612], [0.5005, 0.4702], [0.3215, 0.4049], [0.7515, 0.512], [0.4003, 0.6537], [0.8367, 0.0196], [0.5274, 0.2149]]
